Gene	SRR2072599	SRR2072600	SRR2072601	SRR2072602	SRR2072603	SRR2072604	SRR2072605	SRR2072606	SRR2072608	SRR2072609
ENSG00000101417	61.85736	19.596329	281.50223	27.972763	66.41438	31.487532	293.23145	49.931522	54.73046	304.4719
ENSG00000101421	1687.6433	2089.289	3850.3625	2835.329	1865.9048	1919.6221	4465.466	2975.3628	2382.0642	3982.7886
ENSG00000101425	1.9446288	1.0049014	12.84852	123.12656	12.158853	1.5443364	3.0746686	197.01424	0.0	3.0769053
ENSG00000101435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101438	27.303413	0.0	0.0	0.0	43.29444	0.0	0.0	0.0	0.0	0.0
ENSG00000101439	3546.8462	21200.96	10463.678	11135.187	4250.3643	14149.087	10729.36	9442.159	13677.431	7553.0684
ENSG00000101440	77.43787	0.0	1.895405	0.0	97.594635	0.0	0.0	1.0270343	1.0322746	0.0
ENSG00000101441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101442	235.08018	157.77644	190.80441	102.417046	314.30493	247.06165	245.55432	143.34247	225.98569	207.0111
ENSG00000101443	0.48193184	0.0	0.0	0.0	2.1583223	0.0	0.0	0.0	0.0	0.0
ENSG00000101444	589.03296	703.7435	788.25525	605.75867	896.6256	661.2867	869.90356	577.0652	952.78735	870.2585
ENSG00000101445	6443.4385	3026.6526	1082.8601	264.58725	4054.8167	2962.5527	1636.4369	648.8556	3282.728	830.6736
ENSG00000101446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101447	39.414787	16.84637	10.860826	1.9543009	8.848169	21.857233	14.036993	2.9668593	10.013897	9.9268875
ENSG00000101448	53.788857	8.245461	13.110589	11.082693	33.278046	23.235842	26.8413	15.159893	10.365346	6.5841303
ENSG00000101452	129.93568	268.08185	406.8611	267.3205	196.44214	377.75296	493.68982	307.5418	262.7507	293.5446
ENSG00000101457	294.2606	281.31833	264.12604	389.60077	354.69415	239.56999	313.75006	533.0598	248.81966	150.37079
ENSG00000101460	64.16941	28.68502	9.020811	12.847059	18.21785	12.544096	7.916179	10.066844	31.654789	9.65155
ENSG00000101463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101464	35.950245	59.10078	70.73082	24.232534	54.884125	65.28998	61.533936	46.392162	64.46309	79.614365
ENSG00000101470	8.357596	7.363525	10.587817	6.3435264	9.532955	5.290215	12.286744	5.5981774	3.151308	4.6779094
ENSG00000101473	171.412	159.12134	230.27667	161.37325	202.35374	137.58478	233.43088	171.15903	208.70392	225.03284
