Gene	SRR3471108	SRR3471109	SRR3471110	SRR3471111	SRR3471112	SRR3471113	SRR3471114	SRR3471115	SRR3471116
ENSMUSG00000062209	0.0	1.0276331	0.0	4.0253425	2.9830868	1.9012194	10.507836	8.838074	3.9421935
ENSMUSG00000062210	992.7687	1051.8191	913.5107	1419.345	1531.7255	1301.4384	2196.1785	2190.1072	1780.6765
ENSMUSG00000062224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000062226	0.0	0.9397555	0.0	0.0	0.0	1.0466552	0.98070204	0.0	0.0
ENSMUSG00000062232	3266.6653	3435.9956	2562.1545	5057.5327	5160.751	3997.8938	6984.021	6983.6255	5949.8237
ENSMUSG00000062234	2020.276	2362.143	1634.1692	2524.3074	2686.0972	2580.187	4132.1523	4102.128	3572.2295
ENSMUSG00000062245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000062248	5164.0405	5275.797	4621.6636	2453.5447	2366.622	2261.8408	2649.0479	2618.9275	2224.0994
ENSMUSG00000062252	2.158472	3.4363933	2.1280658	0.6487419	3.9917052	2.186021	9.742846	4.9941134	5.2278523
ENSMUSG00000062257	39.800564	52.59264	34.975903	69.47171	60.8149	74.045494	73.08936	74.79894	72.67438
ENSMUSG00000062270	14445.819	14746.363	12556.922	17060.508	18386.57	14954.4795	24567.588	25011.92	20734.55
ENSMUSG00000062272	23.709755	18.608053	19.596012	20.07551	21.312958	18.184353	54.636845	37.977142	39.16668
ENSMUSG00000062275	0.0	0.0	0.0	0.9857959	0.0	0.9824549	1.9232686	2.8880298	1.0390165
